NAME,ENG,Epq,
히어로,Hero,"2015,12015,53003,65007,,,1054087,,1073816,,,,1703431,,,,,,,,,,,,,,,,",
팔라딘,Paladin,"2015,12015,23101,65017,,,1054088,,1073817,,,,1703432,,,,,,,,,,,,,,,,",
다크나이트,Dark Knight,"2015,12015,23301,65020,,,1054089,,1073818,,,,1703433,,,,,,,,,,,,,,,,",
소울마스터,Dawn Warrior,"2015,12015,21586,67353,1006044,,1051720,,1073662,,,1103475,1703230,,,,,,,,,,,,,,,,",
미하일,Mihile,"2015,12015,20169,65193,1006506,,1054170,,1073906,,1092117,1103475,1703498,,,,,,,,,,,,,,,,",
블래스터,Blaster,"2015,12015,24191,67915,1001182,,1051934,,1071221,,,,1703777,,,,,,,,,,,,,,,,",
데몬 슬레이어,Demon Slayer,"2013,12013,20748,66411,,,1050852,,1074285,,1099009,1103960,1703775,,,,,,,,,,,,,,,,",
데몬 어벤져,Demon Avenger,"2013,12013,20748,66420,,,1050853,,1074286,,1099009,1103961,1703776,,,,,,,,,,,,,,,,",
아란,Aran,"2011,12011,56188,67290,,,1051846,,1073913,,1099009,,1703505,,,,,,,,,,,,,,,,",
카이저,Kaiser,"2015,12015,20176,66335,1006990,,1054620,,1074291,,,,1703782,,,,,,,,,,,,,,,,",
아델,Adele,"2015,12015,51002,67980,,,1054623,,1074294,,,,1703786,,,,,,,,,,,,,,,,",
렌,Ren,"2015,12015,58247,71010,1001183,,1051941,,1071223,,,,1703790,,,,,,,,,,,,,,,,",
제로,Zero,"2015,12015,20794,66323,,,1050863,,1074299,,,,1703793,,,,,,,,,,,,,,,,","2015,12015,21790,67863,,,1051944,,1074299,,,,1703794,,,,,,,,,,,,,,,,"
"아크메이지(불,독)","Arch Mage (Fire, Poison)","2011,12011,21494,67032,1001183,,1051803,,1071191,,,,1703434,,,,,,,,,,,,,,,,",
"아크메이지(썬,콜)","Arch Mage (Ice, Lightning)","2015,12015,21494,67055,1001158,,1051805,,1071193,,,,1703436,,,,,,,,,,,,,,,,",
비숍,Bishop,"2015,12015,21494,67047,1006395,,1051804,,1071192,,,,1703435,,,,,,,,,,,,,,,,",
플레임위자드,Blaze Wizard,"2015,12015,20189,65321,1006046,,1051722,,1073664,,,1103477,1703232,,,,,,,,,,,,,,,,",
배틀메이지,Battle Mage,"2015,12015,24238,67921,1006986,,1051935,,1074287,,,,1703778,,,,,,,,,,,,,,,,",
에반,Evan,"2015,12015,23185,65272,1006511,,1050769,,1073915,,,,1703507,,,,,,,,,,,,,,,,",
루미너스,Luminous,"2015,12015,20074,65280,,,1051849,,1073916,,,,1703508,,,,,,,,,,,,,,,,",
일리움,Illium,"2011,12011,25252,66440,1006991,,1054624,,1074295,,,1103962,1703787,,,,,,,,,,,,,,,,",
라라,Lara,"2015,12015,51484,71020,1006993,,1051942,,1071224,,,,1703791,,,,,,,,,,,,,,,,",
키네시스,Kinesis,"2015,12015,57049,66310,,,1050864,,1074300,,,,1703795,,,,,,,,,,,,,,,,",
레테,Lete,"2052,12052,81606,71400,1001203,,1051990,,1071248,,,1104074,1703934,,,,,,,,,,,,,,,,",
보우마스터,Bowmaster,"2015,12015,21195,67066,1001159,,1051806,,1073819,,,,1703437,,,,,,,,,,,,,,,,",
신궁,Marksman,"2015,12015,21195,67072,1006396,,1051810,,1073820,,,,1703438,,,,,,,,,,,,,,,,",
패스파인더,Pathfinder,"2015,12015,28141,67166,1006416,,1054108,,1073846,,,,1703439,,,,,,,,,,,,,,,,",
윈드브레이커,Wind Archer,"2015,12015,20389,65337,1006045,,1050648,,1073663,,,1103476,1703231,,,,,,,,,,,,,,,,",
와일드헌터,Wild Hunter,"2015,12015,57359,66387,1006987,,1050856,,1074288,,,,1703779,,,,,,,,,,,,,,,,",
메르세데스,Mercedes,"2012,12012,21547,67333,1006512,,1051850,,1071201,,,,1703509,,,,,,,,,,,,,,,,",
카인,Kain,"2015,12015,50747,66350,,,1054621,,1074292,,,,1703783,,1012907,,,,,,,,,,,,,,",
나이트로드,Night Lord,"2015,12015,23001,65086,1000134,,1054091,,1073821,,,,1703440,,,,,,,,,,,,,,,,",
섀도어,Shadower,"2015,12015,21195,67104,1000134,,1054093,,1073823,,,,1703442,,1012820,,,,,,,,,,,,,,",
듀얼블레이드,Dual Blade,"2015,12015,20265,65090,1006397,,1054092,,1073822,,,,1703441,,1012191,,,,,,,,,,,,,,",
나이트워커,Night Walker,"2015,12015,21086,67385,1006047,,1053872,,1073665,,,1103478,1703233,,,,,,,,,,,,,,,,",
팬텀,Phantom,"2015,12015,20658,65303,1006513,,1050772,,1073917,,,,1703510,,,,,,,,,,,,,,,,",
카데나,Cadena,"2015,12015,26456,67891,,,1054622,,1074293,,,,1703784,,,,,,,,,,,,,,,,",
칼리,Khali,"2015,12015,54490,68994,1006992,,1054625,,1074296,,,,1703788,,,,,,,,,,,,,,,,",
